config,level,split,n,pos,auc,ic_lo,ic_hi,brier,ece
E_A_mlp,estudio,OOF training,3999,385,0.5964230014589728,0.5665376108195094,0.6280161875350853,0.25178852677345276,0.3308332307014086
E_A_mlp,estudio,test hold-out,1000,96,0.6211283185840708,0.5537331893239328,0.68546497157033,0.18848927319049835,0.3245178925916552
E_A_gbm,estudio,OOF training,3999,385,0.578670609965574,0.5463699870694784,0.6109043558331683,0.08632750064134598,0.028716075430440437
E_A_gbm,estudio,test hold-out,1000,96,0.5953286320058997,0.5347131929711776,0.659614903795116,0.08523759990930557,0.023090477645397182
E_B_mlp,estudio,OOF training,3999,385,0.6246835897915034,0.5924714065358943,0.6576417075203489,0.2098664492368698,0.3480758019076731
E_B_mlp,estudio,test hold-out,1000,96,0.6064942846607669,0.5316146656823455,0.6777978119024964,0.1979212909936905,0.34218654438853263
E_B_gbm,estudio,OOF training,3999,385,0.621298485686975,0.5882944142375304,0.6517952990203835,0.08570115268230438,0.023837821795198732
E_B_gbm,estudio,test hold-out,1000,96,0.6312165837020649,0.5669748862262599,0.7040428104003126,0.08491465449333191,0.021231906950473785
M_A_mlp,mama,OOF training,7998,395,0.5567504166409994,0.5268841762012748,0.5835736540698562,0.3282538652420044,0.4260719027617077
M_A_mlp,mama,test hold-out,2000,99,0.6829632463509371,0.625532652375637,0.740549241295621,0.22211520373821259,0.4218169171959162
M_A_gbm,mama,OOF training,7998,395,0.5873803978109906,0.5572468674920219,0.6172983910441504,0.04715142026543617,0.022414642433414882
M_A_gbm,mama,test hold-out,2000,99,0.6031780190117907,0.5411034479612158,0.6658266225123777,0.0466688834130764,0.03438204944133758
