candidato,config,head,input_type,pooling,modelo_fusion,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,ece,delta_vs_base,p_delong_vs_base
M_A_gg__mlp,M_A_gg,mlp,A,gg,NINGUNO_base,0.6866402053145872,0.6288502034454628,0.7417284424079654,0.24223041852272587,0.15629538915727792,0.332148817035394,0.19434700906276703,0.38114892782270904,0.0,
M_A_gg__mlp,M_A_gg,mlp,A,gg,logreg,0.6939197338986923,0.6355641887268794,0.7467467059770175,0.23784214137327991,0.15316667751709642,0.32654139060124987,0.21694202578002517,0.4112585505540831,0.007279528584105299,0.5721915438892569
M_A_gg__mlp,M_A_gg,mlp,A,gg,histgb,0.6270782522755168,0.5630778389456108,0.6911068762050017,0.21947186543030084,0.1378434547976179,0.3078346126996601,0.18886140247912445,0.3457190885138756,-0.05956195303907019,0.019433096675432582
M_A_gg__mlp,M_A_gg,mlp,A,gg,mlp,0.6840844000233794,0.6216599215965457,0.7395209360567503,0.22772309822767162,0.14783940061576592,0.31569435538242424,0.0433969646692276,0.007907031510025262,-0.002555805291207469,0.8493985561707698
M_A_22__xgb,M_A_22,xgb,A,22,NINGUNO_base,0.6813346510874129,0.6180705903366948,0.743978984404738,0.30356628318754875,0.21353524528939996,0.38811885029328697,0.11747083812952042,0.27545035576075316,0.0,
M_A_22__xgb,M_A_22,xgb,A,22,logreg,0.6784122126047429,0.6192616652831908,0.7370362076797646,0.28662355855555255,0.1988165827328607,0.36924700459184673,0.2223667715888951,0.4222172100760048,-0.0029224384826699312,0.8640497557877547
M_A_22__xgb,M_A_22,xgb,A,22,histgb,0.6483536044293541,0.5812881551666371,0.7092240462228758,0.2789715512393879,0.19176289200708432,0.361895397900811,0.1555006950561226,0.3049111235731796,-0.03298104665805868,0.3886898811776769
M_A_22__xgb,M_A_22,xgb,A,22,mlp,0.6481729445958799,0.582966950534433,0.708614059218474,0.2866029261364277,0.19772963629845483,0.37085071282211995,0.041658926755189896,0.006170823421329258,-0.03316170649153283,0.32971316938068784
M_AB_gg__histgb,M_AB_gg,histgb,AB,gg,NINGUNO_base,0.6810583478126877,0.6189028532675758,0.7411583269857945,0.2915445089371626,0.20523321008203,0.3774845130379251,0.06486936658620834,0.1467841762751341,0.0,
M_AB_gg__histgb,M_AB_gg,histgb,AB,gg,logreg,0.6829127678680545,0.6227455989997382,0.7402390587227134,0.29121819836937707,0.2035329123742794,0.3745545617924349,0.2146292193932536,0.41086642425584596,0.0018544200553670676,0.8998099573658598
M_AB_gg__histgb,M_AB_gg,histgb,AB,gg,histgb,0.6579949946599079,0.5974341814492323,0.7187352427953144,0.27537325613939734,0.18763135264440006,0.3602209457361723,0.17769576198274276,0.33733405466632305,-0.023063353152779742,0.44441871034788205
M_AB_gg__histgb,M_AB_gg,histgb,AB,gg,mlp,0.6809573908469226,0.6206489729735117,0.7408956350205523,0.2933613460141438,0.20577690443790497,0.379598200555362,0.041494596749544144,0.011971973350271583,-0.00010095696576506441,0.9943267101273905
M_A_22__rf,M_A_22,rf,A,22,NINGUNO_base,0.6802692894223668,0.6209678862692507,0.737358809078266,0.2846723778471411,0.19352320882839114,0.36771896777049945,0.040671125054359436,0.010673522526398305,0.0,
M_A_22__rf,M_A_22,rf,A,22,logreg,0.6780588632245655,0.619197775366157,0.734885836851991,0.28389791598132585,0.19253739887963034,0.3667489293578395,0.20744688174899,0.40339061976124924,-0.0022104261978014295,0.8760773970718441
M_A_22__rf,M_A_22,rf,A,22,histgb,0.6219294470215038,0.5532152838008855,0.6930117151579107,0.26210925903059634,0.17873164574017691,0.34707541539277303,0.18146278526152135,0.3345632381217769,-0.058339842400862985,0.06743170673190257
M_A_22__rf,M_A_22,rf,A,22,mlp,0.6779951009303982,0.6204101173591476,0.7355371808267814,0.2853890958179721,0.1936831554572435,0.36894389261364885,0.03972151502966881,0.008331728890538216,-0.0022741884919688093,0.8835673425634771
M_A_gg__logreg_en,M_A_gg,logreg_en,A,gg,NINGUNO_base,0.6763107136594775,0.6164536130471902,0.7370832377385884,0.2250643042270448,0.14318186547361272,0.3070693300400862,0.15307635068893433,0.2793172119203955,0.0,
M_A_gg__logreg_en,M_A_gg,logreg_en,A,gg,logreg,0.675194873511549,0.6175276126394137,0.7310677753325976,0.18324068572940588,0.11562876830512273,0.2720360019795921,0.23511210111542544,0.4305351179796986,-0.0011158401479286484,0.9476426147302164
M_A_gg__logreg_en,M_A_gg,logreg_en,A,gg,histgb,0.6338131445969426,0.57325755468216,0.6929444652277401,0.18286642912650436,0.11279633799289882,0.2701381062908709,0.1963534480066885,0.3557233834454897,-0.04249756906253488,0.18436154268138139
