tipo,config_a,head_a,config_b,head_b,auc_a,auc_b,delta,p_value,significativo_005
pool_2x2_vs_gg,M_A_22,lgbm,M_A_gg,lgbm,0.6415204119044203,0.6476814435783399,-0.00616103167391957,0.8351352243066956,False
pool_2x2_vs_gg,M_A_22,logreg_l2,M_A_gg,logreg_l2,0.6158215505927237,0.6643234023560167,-0.048501851763293025,0.0985071932244157,False
pool_2x2_vs_gg,M_A_22,extratrees,M_A_gg,extratrees,0.6346898761417437,0.6567410028746168,-0.022051126732873128,0.23755220627027418,False
pool_2x2_vs_gg,M_A_22,mlp,M_A_gg,mlp,0.6421553780838368,0.686640205314587,-0.0444848272307502,0.014100508935846578,True
pool_2x2_vs_gg,M_A_22,logreg_en,M_A_gg,logreg_en,0.6348120872055644,0.6763107136594775,-0.04149862645391311,0.11661944136375713,False
pool_2x2_vs_gg,M_A_22,xgb,M_A_gg,xgb,0.6813346510874128,0.6372908463913199,0.044043804696092814,0.08666623594392853,False
pool_2x2_vs_gg,M_A_22,rf,M_A_gg,rf,0.6802692894223669,0.6660609248720768,0.014208364550290065,0.37619870928912347,False
pool_2x2_vs_gg,M_A_22,histgb,M_A_gg,histgb,0.6653462558249512,0.6691666799504781,-0.0038204241255268556,0.8595545429461127,False
pool_2x2_vs_gg,M_A_22,logreg_l1,M_A_gg,logreg_l1,0.6340469396755563,0.672851609200899,-0.03880466952534278,0.1511097723493302,False
pool_2x2_vs_gg,E_A_22,lgbm,E_A_gg,lgbm,0.612601401179941,0.5778830199115045,0.034718381268436516,0.22936093452978223,False
pool_2x2_vs_gg,E_A_22,logreg_l2,E_A_gg,logreg_l2,0.5828032817109144,0.6075428650442478,-0.02473958333333337,0.38580563222430597,False
pool_2x2_vs_gg,E_A_22,extratrees,E_A_gg,extratrees,0.636298165560472,0.631775442477876,0.004522723082596047,0.8035534202134242,False
pool_2x2_vs_gg,E_A_22,mlp,E_A_gg,mlp,0.5947985803834808,0.6237440081120944,-0.028945427728613637,0.1194438046216213,False
pool_2x2_vs_gg,E_A_22,xgb,E_A_gg,xgb,0.631464325221239,0.62312177359882,0.008342551622418926,0.7419743599910198,False
pool_2x2_vs_gg,E_A_22,rf,E_A_gg,rf,0.6373640302359882,0.6499469948377582,-0.012582964601769997,0.5372478140163892,False
pool_2x2_vs_gg,E_A_22,histgb,E_A_gg,histgb,0.634667680678466,0.6061370759587021,0.028530604719763875,0.3003324614458509,False
pool_2x2_vs_gg,E_A_22,logreg_l1,E_A_gg,logreg_l1,0.6121635324483775,0.6465362278761062,-0.034372695427728694,0.08947282703722248,False
pool_2x2_vs_gg,M_AB_22,lgbm,M_AB_gg,lgbm,0.6088316090946285,0.6758138991174237,-0.06698229002279521,0.009823064565962714,True
pool_2x2_vs_gg,M_AB_22,logreg_l2,M_AB_gg,logreg_l2,0.6184570587516406,0.644286101413929,-0.02582904266228836,0.3653923512034525,False
pool_2x2_vs_gg,M_AB_22,extratrees,M_AB_gg,extratrees,0.617250888686975,0.6453620901280028,-0.028111201441027855,0.08589763990047161,False
pool_2x2_vs_gg,M_AB_22,mlp,M_AB_gg,mlp,0.6386378248556049,0.6709281133268508,-0.03229028847124582,0.02073396776677172,True
pool_2x2_vs_gg,M_AB_22,logreg_en,M_AB_gg,logreg_en,0.6174315485204491,0.6620439003395342,-0.04461235181908507,0.05453109189288008,False
pool_2x2_vs_gg,M_AB_22,xgb,M_AB_gg,xgb,0.6329550103879404,0.6438211680189586,-0.01086615763101817,0.6277028477005628,False
pool_2x2_vs_gg,M_AB_22,rf,M_AB_gg,rf,0.6458190532362021,0.6471899425608001,-0.0013708893245979459,0.9206596982014423,False
pool_2x2_vs_gg,M_AB_22,histgb,M_AB_gg,histgb,0.657992337897651,0.6810583478126876,-0.0230660099150366,0.33988066980277587,False
pool_2x2_vs_gg,M_AB_22,logreg_l1,M_AB_gg,logreg_l1,0.6216611140335496,0.6458110829494311,-0.024149968915881503,0.33005089559456646,False
pool_2x2_vs_gg,E_AB_22,lgbm,E_AB_gg,lgbm,0.616830291297935,0.6282897769174042,-0.01145948561946919,0.6930859787484585,False
pool_2x2_vs_gg,E_AB_22,logreg_l2,E_AB_gg,logreg_l2,0.5862543786873157,0.6004563053097346,-0.014201926622418926,0.6545778134599494,False
pool_2x2_vs_gg,E_AB_22,extratrees,E_AB_gg,extratrees,0.6266074391592921,0.6270049778761062,-0.00039753871681413866,0.9796196550819707,False
pool_2x2_vs_gg,E_AB_22,mlp,E_AB_gg,mlp,0.5920446165191741,0.6270165007374632,-0.03497188421828912,0.0531685847867398,False
pool_2x2_vs_gg,E_AB_22,xgb,E_AB_gg,xgb,0.6428604351032448,0.6257605088495575,0.01709992625368728,0.457595438587137,False
pool_2x2_vs_gg,E_AB_22,rf,E_AB_gg,rf,0.6278115781710915,0.6251094671828908,0.0027021109882006122,0.8607329992974975,False
pool_2x2_vs_gg,E_AB_22,histgb,E_AB_gg,histgb,0.6246773598820058,0.639276825221239,-0.014599465339233175,0.545961626711452,False
pool_2x2_vs_gg,E_AB_22,logreg_l1,E_AB_gg,logreg_l1,0.5977369100294986,0.6437246497050148,-0.04598773967551617,0.015963458629131955,True
pool_2x2_vs_gg,E_B_22,lgbm,E_B_gg,lgbm,0.5798246220501475,0.6095132743362832,-0.02968865228613571,0.34224469898364274,False
pool_2x2_vs_gg,E_B_22,logreg_l2,E_B_gg,logreg_l2,0.588495575221239,0.5917334992625368,-0.003237924041297857,0.8904351312464065,False
pool_2x2_vs_gg,E_B_22,extratrees,E_B_gg,extratrees,0.6058317201327433,0.6260082503687315,-0.0201765302359882,0.1849977830914915,False
pool_2x2_vs_gg,E_B_22,mlp,E_B_gg,mlp,0.5964117809734514,0.6323631084070797,-0.03595132743362828,0.12376818413972912,False
pool_2x2_vs_gg,E_B_22,xgb,E_B_gg,xgb,0.6119906895280236,0.6138689159292036,-0.001878226401179961,0.9331141020471507,False
pool_2x2_vs_gg,E_B_22,rf,E_B_gg,rf,0.5813283554572272,0.60734697640118,-0.026018620943952797,0.09554055149848417,False
pool_2x2_vs_gg,E_B_22,histgb,E_B_gg,histgb,0.5772377396755163,0.6176714601769911,-0.04043372050147487,0.09398400662968776,False
pool_2x2_vs_gg,E_B_22,logreg_l1,E_B_gg,logreg_l1,0.5890601954277286,0.611737186578171,-0.022676991150442416,0.20305439027091765,False
AB_vs_A,M_AB_gg,lgbm,M_A_gg,lgbm,0.6758138991174237,0.6476814435783399,0.028132455539083834,0.34466640691248074,False
AB_vs_A,M_AB_gg,logreg_l2,M_A_gg,logreg_l2,0.644286101413929,0.6643234023560167,-0.020037300942087777,0.25513627878111866,False
AB_vs_A,M_AB_gg,extratrees,M_A_gg,extratrees,0.6453620901280028,0.6567410028746168,-0.011378912746613956,0.5810003579098428,False
AB_vs_A,M_AB_gg,mlp,M_A_gg,mlp,0.6709281133268508,0.686640205314587,-0.015712091987736265,0.1827800199678178,False
AB_vs_A,M_AB_gg,logreg_en,M_A_gg,logreg_en,0.6620439003395342,0.6763107136594775,-0.014266813319943283,0.44005771468252064,False
AB_vs_A,M_AB_gg,xgb,M_A_gg,xgb,0.6438211680189586,0.6372908463913199,0.006530321627638669,0.7889375688604869,False
AB_vs_A,M_AB_gg,rf,M_A_gg,rf,0.6471899425608001,0.6660609248720768,-0.018870982311276707,0.35541162820096006,False
AB_vs_A,M_AB_gg,histgb,M_A_gg,histgb,0.6810583478126876,0.6691666799504781,0.01189166786220952,0.5740372247904657,False
AB_vs_A,M_AB_gg,logreg_l1,M_A_gg,logreg_l1,0.6458110829494311,0.672851609200899,-0.02704052625146791,0.12320073713765178,False
AB_vs_A,M_AB_22,lgbm,M_A_22,lgbm,0.6088316090946285,0.6415204119044203,-0.032688802809791806,0.1748260116582383,False
AB_vs_A,M_AB_22,logreg_l2,M_A_22,logreg_l2,0.6184570587516406,0.6158215505927237,0.0026355081589168883,0.8804644929083336,False
AB_vs_A,M_AB_22,extratrees,M_A_22,extratrees,0.617250888686975,0.6346898761417437,-0.017438987454768684,0.47496804407098425,False
AB_vs_A,M_AB_22,mlp,M_A_22,mlp,0.6386378248556049,0.6421553780838368,-0.0035175532282318844,0.8105900395116086,False
AB_vs_A,M_AB_22,logreg_en,M_A_22,logreg_en,0.6174315485204491,0.6348120872055644,-0.017380538685115243,0.27195317202845803,False
AB_vs_A,M_AB_22,xgb,M_A_22,xgb,0.6329550103879404,0.6813346510874128,-0.048379640699472315,0.06160739514484659,False
AB_vs_A,M_AB_22,rf,M_A_22,rf,0.6458190532362021,0.6802692894223669,-0.03445023618616472,0.08166920286581614,False
AB_vs_A,M_AB_22,histgb,M_A_22,histgb,0.657992337897651,0.6653462558249512,-0.007353917927300224,0.7199048066762281,False
AB_vs_A,M_AB_22,logreg_l1,M_A_22,logreg_l1,0.6216611140335496,0.6340469396755563,-0.012385825642006631,0.5178362213226679,False
AB_vs_A,E_AB_gg,lgbm,E_A_gg,lgbm,0.6282897769174042,0.5778830199115045,0.050406757005899694,0.09507942572654549,False
AB_vs_A,E_AB_gg,logreg_l2,E_A_gg,logreg_l2,0.6004563053097346,0.6075428650442478,-0.00708655973451322,0.3547515061905231,False
AB_vs_A,E_AB_gg,extratrees,E_A_gg,extratrees,0.6270049778761062,0.631775442477876,-0.004770464601769775,0.7189952162858604,False
AB_vs_A,E_AB_gg,mlp,E_A_gg,mlp,0.6270165007374632,0.6237440081120944,0.0032724926253687725,0.8084837389019577,False
AB_vs_A,E_AB_gg,logreg_l1,E_A_gg,logreg_l1,0.6437246497050148,0.6465362278761062,-0.0028115781710914556,0.646548555254091,False
AB_vs_A,E_AB_gg,xgb,E_A_gg,xgb,0.6257605088495575,0.62312177359882,0.002638735250737434,0.8868451107944881,False
AB_vs_A,E_AB_gg,histgb,E_A_gg,histgb,0.639276825221239,0.6061370759587021,0.03313974926253682,0.07591088774503851,False
AB_vs_A,E_AB_gg,rf,E_A_gg,rf,0.6251094671828908,0.6499469948377582,-0.024837527654867353,0.09442450851678852,False
AB_vs_A,E_AB_22,lgbm,E_A_22,lgbm,0.616830291297935,0.612601401179941,0.004228890117993989,0.8579160488564763,False
AB_vs_A,E_AB_22,logreg_l2,E_A_22,logreg_l2,0.5862543786873157,0.5828032817109144,0.0034510969764012245,0.8427690770742975,False
AB_vs_A,E_AB_22,extratrees,E_A_22,extratrees,0.6266074391592921,0.636298165560472,-0.009690726401179961,0.40737693890553306,False
AB_vs_A,E_AB_22,mlp,E_A_22,mlp,0.5920446165191741,0.5947985803834808,-0.0027539638643067077,0.8183527263390693,False
AB_vs_A,E_AB_22,xgb,E_A_22,xgb,0.6428604351032448,0.631464325221239,0.01139610988200579,0.5448097170546911,False
AB_vs_A,E_AB_22,rf,E_A_22,rf,0.6278115781710915,0.6373640302359882,-0.009552452064896744,0.3755337410823596,False
AB_vs_A,E_AB_22,histgb,E_A_22,histgb,0.6246773598820058,0.634667680678466,-0.009990320796460228,0.6928464164948309,False
AB_vs_A,E_AB_22,logreg_l1,E_A_22,logreg_l1,0.5977369100294986,0.6121635324483775,-0.014426622418878932,0.10099873763239064,False
