candidato,modelo_fusion,auc_nb11c,auc_hito2,delta_nb11c_minus_h2,p_delong
M_A_gg__mlp,logreg,0.6939197338986923,0.7067306415018145,-0.012810907603122201,0.5241982504524274
M_A_gg__mlp,NINGUNO_base,0.686640205314587,0.7067306415018145,-0.0200904361872275,0.3347859526618149
M_A_gg__mlp,mlp,0.6840844000233796,0.7067306415018145,-0.02264624147843497,0.27175270133134455
M_A_22__histgb,histgb,0.6837337074054591,0.7067306415018145,-0.022996934096355393,0.5042785043472806
M_AB_gg__histgb,logreg,0.6829127678680547,0.7067306415018145,-0.023817873633759867,0.3620055842339167
M_A_22__xgb,NINGUNO_base,0.6813346510874128,0.7067306415018145,-0.02539599041440177,0.3417877454434419
M_AB_gg__histgb,NINGUNO_base,0.6810583478126876,0.7067306415018145,-0.025672293689126935,0.3397418115076527
M_AB_gg__histgb,mlp,0.6809573908469225,0.7067306415018145,-0.025773250654892,0.2980145711875102
M_A_22__rf,NINGUNO_base,0.6802692894223669,0.7067306415018145,-0.026461352079447664,0.3429380675547278
M_AB_gg__mlp,logreg,0.6785636480533902,0.7067306415018145,-0.028166993448424327,0.1715114525158452
