candidato,modelo_fusion,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,ece,delta_vs_base,p_delong_vs_base
M_A_22__xgb,NINGUNO_base,0.6891132005899705,0.6282069968533799,0.7479157258756869,0.36315017527356,0.27794348078810655,0.4534366716900858,0.1402530074119568,0.2598916525840759,0.0,
M_A_22__xgb,logreg,0.6836398414454277,0.6266399887536309,0.7408514102948806,0.3443033511379243,0.25638940440817526,0.4325120029413086,0.21823504349970926,0.37872109784710495,-0.005473359144542833,0.7590141340475971
M_A_22__xgb,histgb,0.5804007651179941,0.5136221659856562,0.6503595375150637,0.3127080256665615,0.22659441121206458,0.4079816295856641,0.1744239287955863,0.2698773739066648,-0.10871243547197651,0.0014777708894555541
M_A_22__xgb,mlp,0.6355549410029498,0.5737647305183405,0.7008968619743919,0.3399590605115224,0.24863042269326627,0.431844232191802,0.07604635506868362,0.024834162358194592,-0.05355825958702076,0.12077164572966437
M_A_gg__mlp,NINGUNO_base,0.6552936025073747,0.5917288531650641,0.7189509687276366,0.30273543632260025,0.21425914882656683,0.40831237862664116,0.21796688437461853,0.37044794043898577,0.0,
M_A_gg__mlp,logreg,0.6727853060471977,0.6121797087729031,0.7328707316802747,0.31224636363134234,0.22333834672689187,0.4113239050524577,0.20843328301442,0.3564991272557523,0.01749170353982299,0.11028430903740194
M_A_gg__mlp,histgb,0.616841814159292,0.5485399309866217,0.6838553469388992,0.28669469069717285,0.1998960946031082,0.38318440448647995,0.1911980606048734,0.2966569107055416,-0.038451788348082494,0.15115271046631973
M_A_gg__mlp,mlp,0.6681761615044248,0.6077325454958854,0.7283377228056414,0.3151968634093932,0.22818755047029177,0.41159571262141004,0.0791856050491333,0.027676239892840383,0.012882558997050153,0.24034498032684848
M_A_22__rf,NINGUNO_base,0.6679111356932153,0.6094854309614873,0.727603004578697,0.32954308924559206,0.2415149265581352,0.426136760678754,0.07558837532997131,0.036712151356041445,0.0,
M_A_22__rf,logreg,0.6691095132743362,0.6115846256653299,0.727216387289479,0.3308372938265142,0.2456206394099212,0.4224716575829799,0.2046793643273371,0.3569418724109172,0.0011983775811208464,0.9263651877027466
M_A_22__rf,histgb,0.6411780973451328,0.5825932230686882,0.7006763662496615,0.31543970199106214,0.22700063514614968,0.4086626628434303,0.1840257060786454,0.30985127650060473,-0.026733038348082605,0.35597114116975836
M_A_22__rf,mlp,0.6641316371681416,0.6079838653500057,0.7230455496053025,0.32886210774727925,0.24182813661209437,0.4210436869566288,0.07642578333616257,0.040321831695735465,-0.0037794985250737545,0.7637234799364485
